,ingredient,mean,median,std,skew,pearsonr
0,nutrition-score-fr_100g,7.831913139087411,8.0,9.339767760706462,0.10054162680344707,0.9999999999999991
1,energy_100g,1133.2630257080011,1084.0,794.1210146329988,0.4824699525570196,0.6078028063517404
2,carbohydrates_100g,31.609626891418323,21.155,27.19726263985035,0.6653796684823321,0.19771621074421628
3,fat_100g,12.873019310862972,4.0,17.340634873911693,1.7571197408004022,0.5580155935531533
4,proteins_100g,7.967449057327467,5.5,8.775047881877871,2.0949905217466114,0.14762737505260445
5,sodium_100g,2.0094354612827843,0.23469600000000002,32.909345774335144,27.51697553107788,0.050861325938919164
6,salt_100g,5.071303453038141,0.635,82.22459721200305,27.482367151796247,0.05115680719783415
7,sugars_100g,13.207429558971539,5.0,18.464177420260068,2.084263086431699,0.4089200136495435
8,saturated-fat_100g,4.346541492671525,1.0,7.114338032415039,2.9980415864512735,0.6100929682147408
9,fiber_100g,3.0531873248209287,1.7,4.710771586645133,3.9705477094876995,-0.21170333596065175
10,trans-fat_100g,0.06877819399203765,0.0,0.8590765047503073,17.042140020705617,0.061388629323519475
11,cholesterol_100g,0.019015167954014728,0.0,0.18835590820281692,71.1142148805185,0.04211794791643091
12,iron_100g,0.0066593788398394745,0.0009649999999999999,0.2826440555359025,61.81284796366105,-0.018135068343100948
13,vitamin-c_100g,0.004796837817776953,0.0,0.03370153350571777,43.641966050087454,-0.05403222133673457
14,calcium_100g,0.21510922443753427,0.032,9.031532168933659,73.65514664213032,-0.007147846173828489
15,vitamin-a_100g,0.0008384902520385469,0.0,0.054457061393619895,73.43694695989613,0.0030731133890437856
